"tratamiento" "respuesta"
"grupo1" 12.2
"grupo5" 12.18
"grupo3" 15.32
"grupo2" 13.15
"grupo2" 11.63
"grupo5" 14.21
"grupo4" 15.9
"grupo3" 15.94
"grupo5" 15.39
"grupo3" 12.95
"grupo1" 13.69
"grupo1" 12.62
"grupo1" 10.95
"grupo1" 14.61
"grupo3" 11.76
"grupo5" 12.27
"grupo5" 16.53
"grupo5" 13.02
"grupo1" 15.02
"grupo5" 12.85
"grupo1" 14.24
"grupo1" 13.18
"grupo3" 12.55
"grupo5" 13.26
"grupo3" 13.59
"grupo2" 13.69
"grupo2" 14.32
"grupo4" 13.63
"grupo2" 16.95
"grupo2" 13.55
"grupo5" 11.44
"grupo2" 15.19
"grupo4" 12.5
"grupo5" 10.24
"grupo4" 12.1
"grupo2" 12.04
"grupo2" 14.52
"grupo2" 15.96
"grupo4" 13.02
"grupo3" 12.09
"grupo2" 10.84
"grupo3" 14.23
"grupo1" 13.15
"grupo2" 13.47
"grupo4" 13.15
"grupo2" 14.32
"grupo2" 14.07
"grupo3" 15.22
"grupo5" 17.13
"grupo1" 12.2
"grupo2" 15.8
"grupo1" 14.44
"grupo5" 14.45
"grupo2" 13.9
"grupo5" 13.05
"grupo3" 14.56
"grupo5" 9.59
"grupo3" 15.45
"grupo5" 11.1
"grupo2" 14.78
"grupo5" 14.2
"grupo2" 11.47
"grupo4" 15.51
"grupo4" 10.81
"grupo1" 14.76
"grupo2" 10.93
"grupo1" 13.81
"grupo3" 12.51
"grupo1" 15.22
"grupo5" 13.34
"grupo1" 14.61
"grupo2" 12.19
"grupo4" 12.48
"grupo5" 11.55
"grupo4" 15.42
"grupo5" 15.11
"grupo1" 17.01
"grupo5" 12.21
"grupo5" 12.68
"grupo5" 14.36
"grupo5" 9.32
"grupo1" 11.12
"grupo4" 12.21
"grupo4" 15.66
"grupo5" 14.47
"grupo4" 10.19
"grupo4" 13.03
"grupo4" 13.55
"grupo4" 12.31
"grupo5" 10.29
"grupo5" 11.12
"grupo1" 11.63
"grupo4" 14.9
"grupo5" 14.98
"grupo5" 11.76
"grupo5" 12.56
"grupo1" 13.51
"grupo3" 15.09
"grupo5" 12.41
"grupo2" 13.76
"grupo4" 14.58
"grupo4" 10.93
"grupo2" 11.67
"grupo5" 11.89
"grupo4" 14.97
"grupo2" 11.53
"grupo1" 15.8
"grupo1" 8.991
"grupo2" 11
"grupo4" 14.17
"grupo5" 14.54
"grupo1" 13.28
"grupo5" 13.09
"grupo4" 15.77
"grupo3" 14.72
"grupo2" 14.2
"grupo4" 11.83
"grupo2" 15
"grupo3" 16.29
"grupo1" 10.41
"grupo1" 13.15
"grupo1" 14.64
"grupo4" 14.81
"grupo4" 10.65
"grupo4" 16.35
"grupo5" 12.88
"grupo2" 12.35
"grupo1" 15.56
"grupo5" 12.97
"grupo4" 10.45
"grupo5" 13.86
"grupo4" 14.45
"grupo1" 13.09
"grupo1" 10.92
"grupo2" 12.67
"grupo1" 13.13
"grupo3" 11.19
"grupo3" 11.79
"grupo3" 10.33
"grupo4" 13.97
"grupo2" 14.68
"grupo1" 12.87
"grupo2" 14.67
"grupo4" 13.9
"grupo2" 13.55
"grupo4" 10.06
"grupo5" 12.58
"grupo1" 9.159
"grupo2" 13.68
"grupo3" 14.74
"grupo3" 12.54
"grupo2" 17.41
"grupo3" 12.77
"grupo2" 10.77
"grupo4" 15.24
"grupo5" 11.77
"grupo1" 10.12
"grupo3" 13.79
"grupo3" 13.03
"grupo3" 10.95
"grupo2" 15.75
"grupo2" 13.79
"grupo5" 11.93
"grupo4" 11.54
"grupo4" 12.39
"grupo5" 12.52
"grupo3" 16.77
"grupo2" 11.99
"grupo3" 14
"grupo4" 16.06
"grupo5" 12.28
"grupo5" 14.65
"grupo3" 12.48
"grupo3" 12.14
"grupo1" 12.89
"grupo1" 12.42
"grupo4" 14.36
"grupo1" 10.97
"grupo1" 14.13
"grupo4" 13.59
"grupo3" 13.54
"grupo4" 15
"grupo1" 12.3
"grupo5" 14.48
"grupo2" 12.59
"grupo5" 14.24
"grupo4" 11.6
"grupo3" 15.88
"grupo4" 14.56
"grupo1" 12.88
"grupo1" 12.58
"grupo1" 11.24
"grupo3" 10.9
"grupo4" 13.28
"grupo3" 12.91
"grupo1" 15.04
"grupo4" 11.28
"grupo3" 14.63
"grupo3" 16
"grupo2" 12.65
"grupo4" 13.63
"grupo3" 16.43
"grupo1" 13.16
"grupo4" 13.94
"grupo4" 15.67
"grupo1" 16.65
"grupo5" 16.46
"grupo3" 14.3
"grupo4" 12.26
"grupo3" 12.85
"grupo2" 15.1
"grupo3" 15.99
"grupo4" 14.2
"grupo3" 14.65
"grupo5" 14.08
"grupo1" 10.08
"grupo1" 11.21
"grupo3" 15.32
"grupo1" 13.83
"grupo2" 16.82
"grupo5" 13.75
"grupo2" 16.94
"grupo3" 13.36
"grupo2" 10.62
"grupo3" 14.05
"grupo1" 12.88
"grupo3" 17.42
"grupo1" 12.58
"grupo2" 11.21
"grupo2" 14.95
"grupo2" 11.99
"grupo3" 12.6
"grupo2" 11.29
"grupo3" 13.02
"grupo3" 14.74
"grupo4" 11.06
"grupo5" 10.48
"grupo4" 16.7
"grupo3" 15.31
"grupo5" 9.558
"grupo3" 14.09
"grupo2" 12.2
"grupo2" 13.64
"grupo3" 14.32
"grupo3" 18.91
"grupo1" 11.94
"grupo1" 14.13
"grupo5" 14.96
"grupo2" 13.77
"grupo4" 15.37
