"tratamiento" "respuesta"
"grupo5" 14.84
"grupo5" 21.63
"grupo4" 11.1
"grupo6" 19.3
"grupo1" 11.38
"grupo6" 17.92
"grupo2" 19.71
"grupo6" 12.77
"grupo2" 20.46
"grupo6" 11.54
"grupo6" 16.7
"grupo1" 9.747
"grupo6" 17.05
"grupo6" 12.85
"grupo4" 10.21
"grupo2" 22.31
"grupo6" 13.23
"grupo5" 19.27
"grupo1" 14.05
"grupo4" 18.52
"grupo2" 14.15
"grupo5" 13.53
"grupo4" 16.06
"grupo3" 15.92
"grupo3" 13.32
"grupo1" 9.297
"grupo3" 16.1
"grupo2" 20.65
"grupo4" 11.14
"grupo1" 10.42
"grupo5" 16.52
"grupo3" 11.96
"grupo2" 19.89
"grupo4" 18.34
"grupo4" 14.33
"grupo3" 14.19
"grupo6" 18.77
"grupo4" 14.87
"grupo3" 14.69
"grupo4" 14.9
"grupo6" 16.9
"grupo6" 16.03
"grupo3" 15.24
"grupo5" 20.07
"grupo1" 6.958
"grupo3" 14.69
"grupo6" 14.37
"grupo3" 13.76
"grupo6" 10.29
"grupo2" 22
"grupo2" 15.36
"grupo6" 18.09
"grupo2" 20.46
"grupo5" 18.99
"grupo2" 17.18
"grupo1" 6.547
"grupo6" 13.12
"grupo2" 19.02
"grupo2" 18.75
"grupo5" 18.74
"grupo5" 16.23
"grupo1" 13.71
"grupo1" 12.87
"grupo2" 17.57
"grupo3" 15.57
"grupo1" 15.95
"grupo4" 13.78
"grupo2" 18.81
"grupo4" 15.86
"grupo4" 15.33
"grupo1" 14.58
"grupo2" 21.97
"grupo2" 17.83
"grupo4" 12.52
"grupo6" 13.39
"grupo6" 13.51
"grupo3" 7.477
"grupo1" 13.65
"grupo3" 12.6
"grupo1" 13.99
"grupo1" 11.42
"grupo1" 13.94
"grupo4" 14.85
"grupo2" 19.92
"grupo6" 12.71
"grupo4" 15.73
"grupo4" 15.34
"grupo3" 16.4
"grupo2" 18.35
"grupo2" 25.35
"grupo2" 17.9
"grupo6" 14.69
"grupo6" 14.02
"grupo2" 18.85
"grupo4" 13.66
"grupo5" 20.17
"grupo3" 14.79
"grupo4" 16.91
"grupo4" 12.1
"grupo5" 21.17
"grupo5" 17.34
"grupo4" 14.26
"grupo1" 14.15
"grupo3" 10.95
"grupo2" 13.66
"grupo4" 10.51
"grupo4" 14.49
"grupo3" 11.83
"grupo3" 9.543
"grupo6" 13.32
"grupo2" 21.28
"grupo6" 16.16
"grupo2" 18.8
"grupo3" 15.98
"grupo6" 15.16
"grupo1" 10.81
"grupo5" 18.96
"grupo4" 10.92
"grupo3" 14.09
"grupo2" 15.56
"grupo3" 14.2
"grupo2" 18.36
"grupo3" 10.55
"grupo4" 9.684
"grupo4" 13.9
"grupo5" 17.24
"grupo3" 8.763
"grupo5" 15.32
"grupo1" 13.2
"grupo4" 14.68
"grupo2" 18.77
"grupo3" 14.33
"grupo2" 16.75
"grupo6" 15.1
"grupo3" 11.56
"grupo3" 10.58
"grupo2" 21.33
"grupo6" 18.01
"grupo3" 8.926
"grupo1" 11.35
