"medicamento" "aleteos"
"Aliron" 76.65
"Elevantolin" 88.66
"Aliron" 79.36
"Vuelagra" 76.74
"Aliron" 71.83
"Vuelagra" 74.72
"Plumiprofeno" 87.14
"Aliron" 73.24
"Elevantolin" 78.12
"Plumiprofeno" 82.34
"Elevantolin" 81.74
"Vuelagra" 68.61
"Aliron" 79.73
"Elevantolin" 89.11
"Aliron" 74.5
"Vuelagra" 72.84
"Elevantolin" 82.9
"Elevantolin" 80.84
"Vuelagra" 75.83
"Elevantolin" 76.74
"Vuelagra" 66.81
"Plumiprofeno" 94.06
"Aliron" 68.7
"Aliron" 86.02
"Plumiprofeno" 88.12
"Vuelagra" 67.62
"Aliron" 78.68
"Elevantolin" 82.33
"Aliron" 77.25
"Vuelagra" 67.11
"Plumiprofeno" 84.47
"Vuelagra" 69.95
"Elevantolin" 80.75
"Vuelagra" 65.36
"Elevantolin" 85.96
"Elevantolin" 83.43
"Elevantolin" 78.64
"Elevantolin" 76.94
"Elevantolin" 76.57
"Plumiprofeno" 83.11
"Elevantolin" 82.88
"Plumiprofeno" 75.9
"Vuelagra" 76.34
"Aliron" 73.1
"Aliron" 88.33
"Elevantolin" 74.71
"Aliron" 72.7
"Elevantolin" 83.58
"Aliron" 75.2
"Aliron" 74.89
"Vuelagra" 75.28
"Vuelagra" 64.02
"Elevantolin" 72.55
"Vuelagra" 73.54
"Plumiprofeno" 88
"Aliron" 72.22
"Aliron" 77.25
"Aliron" 78.9
"Plumiprofeno" 94.72
"Plumiprofeno" 78.3
"Vuelagra" 69.33
"Elevantolin" 78.76
"Elevantolin" 74.92
"Plumiprofeno" 79.34
"Plumiprofeno" 87.93
"Elevantolin" 82.71
"Aliron" 78.53
"Elevantolin" 82.15
"Plumiprofeno" 83.27
"Elevantolin" 81.41
"Plumiprofeno" 87.13
"Vuelagra" 76.96
"Aliron" 87.02
"Aliron" 82.18
"Elevantolin" 74.71
"Plumiprofeno" 80.84
"Elevantolin" 81.46
"Aliron" 76.29
"Elevantolin" 81.09
"Aliron" 78.7
"Aliron" 80.28
"Vuelagra" 72.17
"Elevantolin" 79.4
"Elevantolin" 83.16
"Aliron" 78.75
"Aliron" 81.28
"Elevantolin" 74.8
"Vuelagra" 73.23
"Plumiprofeno" 82.47
"Vuelagra" 77.45
"Plumiprofeno" 83.96
"Elevantolin" 91.51
"Elevantolin" 69.03
"Aliron" 81.91
"Aliron" 80.33
"Elevantolin" 82.57
"Plumiprofeno" 80.57
"Aliron" 71.11
"Elevantolin" 79.4
"Vuelagra" 71.89
"Vuelagra" 74.42
"Vuelagra" 71.94
"Vuelagra" 74.31
"Aliron" 79.09
"Elevantolin" 79.24
"Vuelagra" 64.67
"Vuelagra" 78.07
"Plumiprofeno" 81.66
"Plumiprofeno" 84.38
"Vuelagra" 67.46
"Vuelagra" 75.85
"Vuelagra" 73.05
"Elevantolin" 87.61
"Aliron" 73.91
"Aliron" 77.72
"Vuelagra" 65.61
"Plumiprofeno" 84
"Plumiprofeno" 83.22
"Elevantolin" 82.13
"Plumiprofeno" 81.63
"Aliron" 81.06
"Aliron" 81.04
"Elevantolin" 80.18
"Elevantolin" 86.14
"Plumiprofeno" 86.02
"Plumiprofeno" 85.19
"Plumiprofeno" 82.21
"Vuelagra" 68.9
"Vuelagra" 66.24
"Elevantolin" 87.05
"Elevantolin" 79
"Elevantolin" 74.01
"Vuelagra" 69.42
"Elevantolin" 80.13
"Vuelagra" 71.27
"Vuelagra" 80.7
"Aliron" 80.03
"Aliron" 82.69
"Aliron" 83.5
"Plumiprofeno" 89.69
"Aliron" 79.12
"Elevantolin" 85.34
"Plumiprofeno" 89.94
"Plumiprofeno" 77.84
"Aliron" 80.28
"Vuelagra" 75.72
"Vuelagra" 71.61
"Plumiprofeno" 86.05
"Elevantolin" 82.58
"Aliron" 80.03
"Elevantolin" 81.03
"Elevantolin" 87.35
"Plumiprofeno" 87.79
"Aliron" 76.55
"Vuelagra" 71.7
"Elevantolin" 86.67
"Elevantolin" 79.37
"Aliron" 76.52
"Plumiprofeno" 82.54
"Aliron" 74.21
"Vuelagra" 78.67
"Vuelagra" 75.6
"Plumiprofeno" 76.19
"Aliron" 78.03
"Vuelagra" 78.33
"Aliron" 74.43
"Aliron" 81.66
"Elevantolin" 84.71
"Vuelagra" 72.86
"Vuelagra" 74.71
