"X"	"Y"	"queClase"	"clases"
2.75	1	24	"(2.25,3]"
9.93	1	34	"(9.75,10.5]"
2.97	0	24	"(2.25,3]"
-14.5	0	1	"[-15,-14.2]"
5.58	1	28	"(5.25,6]"
-2.21	0	18	"(-2.25,-1.5]"
1.61	1	23	"(1.5,2.25]"
-1.27	1	19	"(-1.5,-0.75]"
-0.364	0	20	"(-0.75,0]"
-7.19	0	11	"(-7.5,-6.75]"
-7.52	0	10	"(-8.25,-7.5]"
13.1	1	38	"(12.8,13.5]"
-3.56	0	16	"(-3.75,-3]"
-6.53	0	12	"(-6.75,-6]"
5.82	0	28	"(5.25,6]"
-0.973	1	19	"(-1.5,-0.75]"
-1.76	0	18	"(-2.25,-1.5]"
-5.19	0	14	"(-5.25,-4.5]"
13.5	1	38	"(12.8,13.5]"
-9.4	0	8	"(-9.75,-9]"
1.82	1	23	"(1.5,2.25]"
-6.61	0	12	"(-6.75,-6]"
-7.45	0	11	"(-7.5,-6.75]"
11.8	1	36	"(11.2,12]"
-2.63	1	17	"(-3,-2.25]"
7.39	1	30	"(6.75,7.5]"
12.5	1	37	"(12,12.8]"
4.97	0	27	"(4.5,5.25]"
3.29	0	25	"(3,3.75]"
-7.95	0	10	"(-8.25,-7.5]"
11.4	1	36	"(11.2,12]"
-0.792	0	19	"(-1.5,-0.75]"
5.89	1	28	"(5.25,6]"
10.4	1	34	"(9.75,10.5]"
10.9	1	35	"(10.5,11.2]"
13.4	1	38	"(12.8,13.5]"
8.26	1	32	"(8.25,9]"
14.1	1	39	"(13.5,14.2]"
12.6	1	37	"(12,12.8]"
7.87	1	31	"(7.5,8.25]"
-12	0	5	"(-12.8,-12]"
0.102	0	21	"(0,0.75]"
9.76	1	34	"(9.75,10.5]"
8.37	1	32	"(8.25,9]"
13.9	1	39	"(13.5,14.2]"
5.51	1	28	"(5.25,6]"
5.96	1	28	"(5.25,6]"
-14.5	0	1	"[-15,-14.2]"
-2.29	1	17	"(-3,-2.25]"
11.9	1	36	"(11.2,12]"
-1.86	0	18	"(-2.25,-1.5]"
9.82	1	34	"(9.75,10.5]"
-14.4	0	1	"[-15,-14.2]"
-10.3	0	7	"(-10.5,-9.75]"
4.43	1	26	"(3.75,4.5]"
-8.75	0	9	"(-9,-8.25]"
13.6	1	39	"(13.5,14.2]"
8.2	1	31	"(7.5,8.25]"
1.94	0	23	"(1.5,2.25]"
-6.81	0	11	"(-7.5,-6.75]"
12	1	36	"(11.2,12]"
-3.52	0	16	"(-3.75,-3]"
13.8	1	39	"(13.5,14.2]"
8.38	1	32	"(8.25,9]"
-5.29	0	13	"(-6,-5.25]"
8.31	1	32	"(8.25,9]"
1.7	0	23	"(1.5,2.25]"
11.8	1	36	"(11.2,12]"
5.98	1	28	"(5.25,6]"
2.99	0	24	"(2.25,3]"
13.3	1	38	"(12.8,13.5]"
9.37	1	33	"(9,9.75]"
8.68	1	32	"(8.25,9]"
-0.525	1	20	"(-0.75,0]"
13.5	1	38	"(12.8,13.5]"
11.3	1	36	"(11.2,12]"
-2.14	0	18	"(-2.25,-1.5]"
2.73	1	24	"(2.25,3]"
4.32	1	26	"(3.75,4.5]"
-4.02	1	15	"(-4.5,-3.75]"
10.6	1	35	"(10.5,11.2]"
12.9	1	38	"(12.8,13.5]"
-3.36	0	16	"(-3.75,-3]"
-4.91	0	14	"(-5.25,-4.5]"
15	1	40	"(14.2,15]"
-0.844	0	19	"(-1.5,-0.75]"
5.9	0	28	"(5.25,6]"
4.69	1	27	"(4.5,5.25]"
-5.63	0	13	"(-6,-5.25]"
4.08	0	26	"(3.75,4.5]"
0.516	1	21	"(0,0.75]"
5.28	1	28	"(5.25,6]"
-10.6	0	6	"(-11.2,-10.5]"
-11.3	0	5	"(-12,-11.2]"
-4.56	0	14	"(-5.25,-4.5]"
6.44	1	29	"(6,6.75]"
-0.557	1	20	"(-0.75,0]"
7.85	1	31	"(7.5,8.25]"
5.53	1	28	"(5.25,6]"
13.7	1	39	"(13.5,14.2]"
-0.298	1	20	"(-0.75,0]"
-8.32	0	9	"(-9,-8.25]"
-12.2	0	4	"(-12.8,-12]"
9.26	1	33	"(9,9.75]"
-6.33	0	12	"(-6.75,-6]"
5.73	1	28	"(5.25,6]"
-7.12	0	11	"(-7.5,-6.75]"
-1.33	0	19	"(-1.5,-0.75]"
3.73	1	25	"(3,3.75]"
0.562	0	21	"(0,0.75]"
-6.7	0	12	"(-6.75,-6]"
3.91	1	26	"(3.75,4.5]"
-12.9	0	3	"(-13.5,-12.8]"
-4.18	1	15	"(-4.5,-3.75]"
-1.23	0	19	"(-1.5,-0.75]"
5.46	1	28	"(5.25,6]"
-5.87	0	13	"(-6,-5.25]"
-14.4	0	1	"[-15,-14.2]"
-1	0	19	"(-1.5,-0.75]"
1.74	1	23	"(1.5,2.25]"
10.6	1	35	"(10.5,11.2]"
0.566	0	21	"(0,0.75]"
8.86	1	32	"(8.25,9]"
-9.46	0	8	"(-9.75,-9]"
3.69	1	25	"(3,3.75]"
-7.07	0	11	"(-7.5,-6.75]"
-7.41	0	11	"(-7.5,-6.75]"
6.64	1	29	"(6,6.75]"
8.28	1	32	"(8.25,9]"
11.2	1	35	"(10.5,11.2]"
6.54	1	29	"(6,6.75]"
12.8	1	38	"(12.8,13.5]"
1.2	1	22	"(0.75,1.5]"
14.6	1	40	"(14.2,15]"
9.57	1	33	"(9,9.75]"
-9.41	0	8	"(-9.75,-9]"
10.9	1	35	"(10.5,11.2]"
-14.6	0	1	"[-15,-14.2]"
-12.3	0	4	"(-12.8,-12]"
0.909	0	22	"(0.75,1.5]"
-12.9	0	3	"(-13.5,-12.8]"
-13.9	0	2	"(-14.2,-13.5]"
-1.85	0	18	"(-2.25,-1.5]"
-3.99	1	15	"(-4.5,-3.75]"
7.87	1	31	"(7.5,8.25]"
0.859	1	22	"(0.75,1.5]"
6.84	1	30	"(6.75,7.5]"
14.1	1	39	"(13.5,14.2]"
-11.1	0	6	"(-11.2,-10.5]"
14.3	1	40	"(14.2,15]"
-3.88	0	15	"(-4.5,-3.75]"
-0.792	1	19	"(-1.5,-0.75]"
-4.1	0	15	"(-4.5,-3.75]"
-7.59	0	10	"(-8.25,-7.5]"
7.33	1	30	"(6.75,7.5]"
-10.4	0	7	"(-10.5,-9.75]"
13.1	1	38	"(12.8,13.5]"
-6.43	0	12	"(-6.75,-6]"
-6.67	0	12	"(-6.75,-6]"
1.02	0	22	"(0.75,1.5]"
-10.9	0	6	"(-11.2,-10.5]"
6.46	1	29	"(6,6.75]"
6.88	1	30	"(6.75,7.5]"
6.49	1	29	"(6,6.75]"
-6.78	0	11	"(-7.5,-6.75]"
3.18	0	25	"(3,3.75]"
14	1	39	"(13.5,14.2]"
-9.89	0	7	"(-10.5,-9.75]"
0.432	1	21	"(0,0.75]"
-4.25	0	15	"(-4.5,-3.75]"
-9.59	0	8	"(-9.75,-9]"
-3.37	0	16	"(-3.75,-3]"
8.83	1	32	"(8.25,9]"
-1	0	19	"(-1.5,-0.75]"
-5.57	0	13	"(-6,-5.25]"
2.13	1	23	"(1.5,2.25]"
-2.64	0	17	"(-3,-2.25]"
-6.34	0	12	"(-6.75,-6]"
-11.3	0	5	"(-12,-11.2]"
0.00585	0	21	"(0,0.75]"
5.5	1	28	"(5.25,6]"
2.74	1	24	"(2.25,3]"
-9.41	0	8	"(-9.75,-9]"
13.1	1	38	"(12.8,13.5]"
11.5	1	36	"(11.2,12]"
14.4	1	40	"(14.2,15]"
-2.47	1	17	"(-3,-2.25]"
-11.7	0	5	"(-12,-11.2]"
6.26	1	29	"(6,6.75]"
9.18	1	33	"(9,9.75]"
5.85	1	28	"(5.25,6]"
-1.12	0	19	"(-1.5,-0.75]"
-0.622	1	20	"(-0.75,0]"
11.6	1	36	"(11.2,12]"
-3.49	0	16	"(-3.75,-3]"
-12	0	5	"(-12.8,-12]"
-3.19	1	16	"(-3.75,-3]"
11.6	1	36	"(11.2,12]"
-0.992	1	19	"(-1.5,-0.75]"
-6.41	0	12	"(-6.75,-6]"
8.98	1	32	"(8.25,9]"
-5.75	0	13	"(-6,-5.25]"
-9.82	0	7	"(-10.5,-9.75]"
13.2	1	38	"(12.8,13.5]"
10.2	1	34	"(9.75,10.5]"
7.86	1	31	"(7.5,8.25]"
9.3	1	33	"(9,9.75]"
8.1	1	31	"(7.5,8.25]"
0.914	0	22	"(0.75,1.5]"
-1.24	1	19	"(-1.5,-0.75]"
-4.85	0	14	"(-5.25,-4.5]"
-11.4	0	5	"(-12,-11.2]"
-6.96	0	11	"(-7.5,-6.75]"
-4.97	0	14	"(-5.25,-4.5]"
13.7	1	39	"(13.5,14.2]"
-6.48	0	12	"(-6.75,-6]"
12.9	1	38	"(12.8,13.5]"
-10.7	0	6	"(-11.2,-10.5]"
-11.7	0	5	"(-12,-11.2]"
2.71	1	24	"(2.25,3]"
-14.5	0	1	"[-15,-14.2]"
-11.5	0	5	"(-12,-11.2]"
-3.79	1	15	"(-4.5,-3.75]"
12.3	1	37	"(12,12.8]"
12.8	1	38	"(12.8,13.5]"
-13.3	0	3	"(-13.5,-12.8]"
-6.46	0	12	"(-6.75,-6]"
-0.648	0	20	"(-0.75,0]"
4.65	1	27	"(4.5,5.25]"
12.2	1	37	"(12,12.8]"
1.38	0	22	"(0.75,1.5]"
3.8	1	26	"(3.75,4.5]"
10.8	1	35	"(10.5,11.2]"
-14.5	0	1	"[-15,-14.2]"
-6.96	0	11	"(-7.5,-6.75]"
-9.01	0	8	"(-9.75,-9]"
-5.24	0	14	"(-5.25,-4.5]"
-3.25	0	16	"(-3.75,-3]"
-6.78	0	11	"(-7.5,-6.75]"
5.62	1	28	"(5.25,6]"
-12.4	0	4	"(-12.8,-12]"
-7.54	0	10	"(-8.25,-7.5]"
10.1	1	34	"(9.75,10.5]"
13.9	1	39	"(13.5,14.2]"
-14	0	2	"(-14.2,-13.5]"
-9.31	0	8	"(-9.75,-9]"
-10.9	0	6	"(-11.2,-10.5]"
14.7	1	40	"(14.2,15]"
9.52	1	33	"(9,9.75]"
2.73	0	24	"(2.25,3]"
-12.6	0	4	"(-12.8,-12]"
-0.494	1	20	"(-0.75,0]"
-9.44	0	8	"(-9.75,-9]"
-4.25	0	15	"(-4.5,-3.75]"
-11.6	0	5	"(-12,-11.2]"
13.9	1	39	"(13.5,14.2]"
0.849	1	22	"(0.75,1.5]"
1.88	1	23	"(1.5,2.25]"
7.33	1	30	"(6.75,7.5]"
-7.37	0	11	"(-7.5,-6.75]"
-0.88	1	19	"(-1.5,-0.75]"
-10.8	0	6	"(-11.2,-10.5]"
0.439	1	21	"(0,0.75]"
10.2	1	34	"(9.75,10.5]"
-7.78	0	10	"(-8.25,-7.5]"
6.05	1	29	"(6,6.75]"
-0.322	0	20	"(-0.75,0]"
-3.82	0	15	"(-4.5,-3.75]"
-13	0	3	"(-13.5,-12.8]"
12.6	1	37	"(12,12.8]"
7.51	1	31	"(7.5,8.25]"
-5.92	0	13	"(-6,-5.25]"
-10.9	0	6	"(-11.2,-10.5]"
9.48	1	33	"(9,9.75]"
13.6	1	39	"(13.5,14.2]"
-5.32	0	13	"(-6,-5.25]"
-4.74	1	14	"(-5.25,-4.5]"
6.8	1	30	"(6.75,7.5]"
-8.91	0	9	"(-9,-8.25]"
-13.7	0	2	"(-14.2,-13.5]"
9.19	1	33	"(9,9.75]"
12.4	1	37	"(12,12.8]"
4.68	0	27	"(4.5,5.25]"
-14.5	0	1	"[-15,-14.2]"
-5.15	0	14	"(-5.25,-4.5]"
13.6	1	39	"(13.5,14.2]"
-9.29	0	8	"(-9.75,-9]"
-2.51	1	17	"(-3,-2.25]"
5.6	1	28	"(5.25,6]"
-12.2	0	4	"(-12.8,-12]"
-12.6	0	4	"(-12.8,-12]"
13.3	1	38	"(12.8,13.5]"
-4.63	0	14	"(-5.25,-4.5]"
12.9	1	38	"(12.8,13.5]"
-9.57	0	8	"(-9.75,-9]"
6.71	1	29	"(6,6.75]"
12.4	1	37	"(12,12.8]"
2.42	0	24	"(2.25,3]"
2.53	1	24	"(2.25,3]"
-5.05	1	14	"(-5.25,-4.5]"
-4.6	0	14	"(-5.25,-4.5]"
-11.9	0	5	"(-12,-11.2]"
-9.09	0	8	"(-9.75,-9]"
-0.000864	0	20	"(-0.75,0]"
7.66	1	31	"(7.5,8.25]"
-13.6	0	2	"(-14.2,-13.5]"
8.84	1	32	"(8.25,9]"
13.6	1	39	"(13.5,14.2]"
2.89	0	24	"(2.25,3]"
7.48	1	30	"(6.75,7.5]"
-14	0	2	"(-14.2,-13.5]"
1.75	0	23	"(1.5,2.25]"
11.7	1	36	"(11.2,12]"
-13.5	0	3	"(-14.2,-13.5]"
-10.4	0	7	"(-10.5,-9.75]"
1.55	1	23	"(1.5,2.25]"
3.2	1	25	"(3,3.75]"
0.561	0	21	"(0,0.75]"
-0.0862	1	20	"(-0.75,0]"
0.854	0	22	"(0.75,1.5]"
-13.4	0	3	"(-13.5,-12.8]"
-8.26	0	9	"(-9,-8.25]"
4.91	1	27	"(4.5,5.25]"
-3.33	0	16	"(-3.75,-3]"
-1.33	0	19	"(-1.5,-0.75]"
13	1	38	"(12.8,13.5]"
1.32	1	22	"(0.75,1.5]"
-4.33	1	15	"(-4.5,-3.75]"
12.8	1	38	"(12.8,13.5]"
11.8	1	36	"(11.2,12]"
3.04	0	25	"(3,3.75]"
-8.48	0	9	"(-9,-8.25]"
4.91	1	27	"(4.5,5.25]"
