"X"	"Y"
-3.83	0
-2.85	0
-6.23	0
8.57	1
-8.14	0
-4.93	0
5.03	1
9.92	1
9.78	1
5.48	1
-0.23	1
1.14	1
-4.2	0
9.98	1
-8.93	0
-6.97	0
2.69	1
5.08	1
2.98	1
-8.05	0
-6.17	0
0.0163	1
-0.999	1
9.47	1
7.14	1
7.47	1
-4.8	0
-0.0801	1
-1.02	0
3.8	1
-9.39	0
7.91	1
7.84	1
8.68	1
1.91	1
-4.66	0
-0.986	1
-2.83	1
-4.21	0
2.36	1
8.02	1
5.88	1
-3.41	0
1.33	1
2.51	1
0.472	1
-5.91	0
9.12	1
4.56	1
-8.64	0
-5.75	0
6.08	1
-1.13	0
-2.92	0
-4.2	0
-6.58	0
5.62	1
3.02	1
-3.58	0
-6.5	0
5.11	1
6.46	1
-2.11	0
8.06	1
1.15	1
-7.73	0
7.24	1
-9.46	0
8.85	1
4.29	1
-7.53	0
2.26	0
0.0258	0
5.21	1
-1.35	1
0.691	1
1.08	1
0.85	1
-5.84	0
5.47	1
-0.802	0
0.619	1
3.9	1
-0.339	0
-7.13	0
-7.62	0
5.14	1
-7.07	0
-8.41	0
6.26	1
8.96	1
0.716	1
7.51	1
5.11	1
-7.6	0
-0.522	0
-1.15	0
-7.97	0
-2.79	0
0.284	0
2.38	1
-6.57	0
2.58	1
9.11	1
-5.18	0
4.84	1
6.21	1
1.94	1
-3.4	0
-5.85	0
0.265	0
5.16	1
3.1	1
1.01	1
6.77	1
-0.951	0
0.832	1
8.27	1
-9.97	0
-3.35	0
3.04	1
-1.23	1
0.902	0
-4.09	0
-6.26	0
4.3	1
-2.71	0
-2.66	0
-5.26	0
6.28	1
0.138	1
-6.74	0
0.308	1
-2.87	0
-9.98	0
4.78	1
-0.703	0
3.83	1
-1.43	1
9.88	1
-3.31	0
8.18	1
2.13	1
1.81	1
-0.348	1
-2.34	0
6.22	1
-5.98	0
-2.72	0
0.52	1
7.01	1
4.36	1
-2.67	1
-4.26	0
-2.87	0
-6.25	0
3.98	1
-2.19	0
2.12	1
2.71	1
3.56	1
8.86	1
-1.8	1
-7.8	0
-4.11	0
-2.23	0
-7.48	0
-6.39	0
-5.46	0
6.56	1
-8.99	0
-3.2	0
3.28	1
4.11	1
10	1
-9.75	0
3.03	1
9.45	1
-0.0685	0
-0.0842	0
9.44	1
-0.476	1
0.651	1
-2.8	0
1.92	1
-1.74	1
2.24	1
3.72	1
2.89	1
-4.98	0
-3.2	0
-1.76	0
-3.33	0
0.473	0
-0.0952	0
-7.13	0
0.315	0
5.82	1
-6.92	0
6.88	1
1.45	1
1.9	1
2.87	1
2.53	1
-8.99	0
1.03	1
8.21	1
4.29	1
6.45	1
-9.61	0
-7.89	0
-0.846	1
2.61	0
-7.28	0
8.41	1
3.44	1
-8.67	0
-7.97	0
4.9	1
-5.14	0
1.54	1
-5.05	0
2.89	1
-7.41	0
-8.62	0
2.29	1
2.94	1
-0.805	0
3.97	1
-6.54	0
5.73	1
6.35	1
-4.52	0
-5.26	0
9.22	1
-0.56	0
-5.64	0
-2.46	0
-4.54	0
7.15	1
-6.81	0
7.7	1
9.66	1
-5.74	0
7.41	1
5.87	1
-7.17	0
