"valor" "medidas" "tipo"
43 8,7684 "C5"
25 -9,876 "C6"
94 0,46818 "C1"
46 0,40087 "C7"
83 -4,3824 "C2"
12 1,9344 "C3"
137 -4,5419 "C5"
90 -4,7231 "C8"
14 -9,8396 "C7"
23 6,2293 "C1"
94 1,8064 "C8"
7 6,3892 "C6"
91 8,8721 "C6"
88 -5,0858 "C4"
98 2,3532 "C2"
61 -9,2833 "C4"
102 -5,8757 "C1"
8 2,5154 "C4"
148 3,4106 "C5"
31 -2,0604 "C2"
130 -9,8528 "C5"
101 6,6866 "C8"
77 7,0499 "C3"
124 4,1762 "C4"
98 2,7039 "C4"
147 3,6384 "C8"
66 -8,5434 "C3"
74 -7,8681 "C2"
35 7,5973 "C3"
150 -8,6635 "C5"
123 -1,6492 "C8"
55 -4,2299 "C8"
65 -2,5578 "C3"
5 5,3904 "C7"
146 0,50329 "C3"
100 4,9894 "C5"
83 1,6074 "C3"
111 -7,3415 "C2"
112 6,9515 "C8"
107 -0,15516 "C2"
81 2,6682 "C7"
32 -0,80705 "C8"
129 -6,7367 "C5"
32 4,0412 "C5"
139 5,6649 "C7"
97 -8,0876 "C3"
57 9,1169 "C5"
125 -6,8715 "C6"
80 -7,9905 "C3"
125 9,4101 "C4"
150 1,1067 "C2"
106 -7,4164 "C3"
148 2,529 "C1"
28 -4,9938 "C7"
95 8,5633 "C8"
15 -2,6652 "C6"
15 -5,5983 "C1"
92 -3,5282 "C6"
137 -3,7884 "C7"
28 -0,17165 "C7"
118 2,8953 "C4"
63 2,2812 "C3"
89 -2,7351 "C8"
142 1,7389 "C2"
104 9,9101 "C8"
111 5,1235 "C6"
11 -8,3733 "C2"
36 -6,3127 "C8"
66 -5,063 "C7"
86 5,6078 "C5"
85 -9,3599 "C5"
111 -1,8988 "C3"
121 7,7607 "C6"
50 0,45521 "C3"
104 9,3322 "C4"
101 -9,849 "C4"
58 -1,0897 "C5"
17 1,9959 "C6"
20 2,5359 "C5"
31 7,0769 "C4"
21 4,6579 "C5"
57 8,4215 "C6"
126 1,6545 "C3"
143 -9,2509 "C4"
70 -0,22627 "C7"
34 -3,569 "C2"
57 0,48709 "C3"
60 -4,8803 "C6"
34 -0,17009 "C6"
70 -2,8357 "C5"
88 6,7769 "C4"
126 -4,8493 "C5"
5 -4,6857 "C7"
29 -4,0915 "C2"
77 8,023 "C8"
89 -6,6827 "C1"
70 3,8294 "C3"
45 -7,0428 "C4"
29 -0,073387 "C3"
14 8,8831 "C4"
102 -0,44416 "C4"
13 -2,3415 "C2"
95 5,3176 "C5"
122 4,3347 "C8"
29 6,8515 "C8"
59 9,7885 "C6"
133 0,91945 "C4"
82 -0,1924 "C7"
63 2,0799 "C6"
150 -6,4858 "C8"
120 6,736 "C7"
115 2,8647 "C7"
118 -9,8434 "C4"
136 -6,0912 "C2"
78 4,5357 "C8"
56 6,8513 "C6"
81 -0,78588 "C3"
67 1,3456 "C6"
82 3,4445 "C7"
76 8,1364 "C5"
91 -6,9944 "C5"
147 8,0706 "C7"
28 -9,56 "C1"
53 -4,5994 "C4"
12 -5,9558 "C1"
137 0,48776 "C1"
84 6,7592 "C4"
129 -0,2651 "C1"
88 2,7307 "C8"
93 -0,38471 "C4"
150 3,6381 "C1"
44 -0,67908 "C1"
24 0,81121 "C6"
16 3,7155 "C6"
27 0,80849 "C2"
74 9,5228 "C5"
141 -0,39651 "C1"
129 2,3166 "C2"
15 -1,7663 "C8"
117 -1,5684 "C4"
7 -0,92384 "C2"
82 -8,5922 "C4"
84 5,7712 "C4"
126 4,753 "C6"
80 -5,0345 "C5"
119 -2,4965 "C8"
4 -8,3976 "C3"
104 0,16675 "C4"
84 -1,5295 "C7"
11 5,514 "C6"
150 -3,5831 "C1"
81 4,9487 "C7"
84 -8,5596 "C1"
84 0,98432 "C7"
141 8,0103 "C1"
82 7,4399 "C1"
112 -7,5804 "C6"
149 -3,4335 "C2"
93 7,0122 "C1"
132 -1,6437 "C1"
1 -9,5453 "C8"
66 6,1965 "C6"
128 -9,1508 "C7"
2 -3,2386 "C7"
34 -5,0367 "C2"
107 7,7823 "C7"
1 -1,0525 "C3"
53 0,51496 "C6"
36 3,0536 "C2"
55 -2,8625 "C1"
119 2,3975 "C7"
110 -7,9474 "C5"
105 0,81193 "C8"
30 2,3761 "C2"
122 2,5721 "C7"
79 5,5399 "C2"
61 3,6633 "C6"
51 -8,9413 "C8"
0 9,236 "C8"
10 7,5186 "C3"
35 -4,7332 "C1"
2 8,2606 "C1"
114 -6,61 "C2"
150 1,5277 "C2"
125 -5,0309 "C3"
76 -1,6609 "C1"
129 9,5623 "C1"
112 -7,6419 "C5"
118 9,5534 "C5"
59 -1,897 "C6"
22 8,4734 "C7"
28 -0,6791 "C2"
106 0,67672 "C2"
50 3,8969 "C3"
148 -2,1389 "C5"
89 -4,0019 "C3"
134 -5,6339 "C1"
82 -9,9441 "C3"
49 -2,6392 "C8"
147 9,0747 "C4"
