valor	medidas	tipo
21	0,2583	C7
134	-8,967	C8
116	6,141	C7
8	5,197	C3
104	-1,432	C3
147	-6,055	C3
128	-1,018	C2
88	-4,107	C8
149	7,074	C3
84	0,5444	C8
142	-2,369	C5
115	-9,708	C3
145	1,439	C7
122	-6,816	C5
74	-8,427	C5
81	0,9687	C6
120	4,014	C4
86	0,569	C3
41	-5,754	C6
74	-3,754	C3
45	-8,747	C3
91	5,008	C6
139	8,611	C6
148	-9,124	C4
145	-0,7483	C4
133	-2,066	C2
8	-1,104	C1
20	0,7847	C4
64	-5,235	C3
22	-2,75	C8
7	3,635	C8
87	5,958	C4
97	5,468	C7
56	-0,2476	C1
95	-3,571	C8
115	0,9265	C1
23	-7,094	C2
56	4,846	C5
96	4,612	C7
145	-7,574	C3
129	5,296	C7
12	9,475	C5
137	5,142	C7
141	-4,49	C2
26	-7,27	C4
100	-7,285	C2
59	7,182	C3
77	9,715	C2
4	-8,128	C6
50	-6,547	C2
68	-2,523	C3
0	6,489	C1
148	0,5111	C5
144	-0,8199	C6
141	8,874	C1
70	8,324	C8
132	-2,867	C7
41	0,7661	C4
103	-1,376	C4
131	-5,091	C2
142	7,732	C1
101	-9,612	C8
38	4,678	C7
61	5,415	C6
46	-5,704	C4
75	-6,665	C1
126	-7,6	C2
96	6,083	C6
65	8,53	C4
143	-0,671	C5
75	9,103	C3
103	-4,232	C3
91	-1,467	C5
105	4,106	C1
6	-4,006	C6
31	-7,849	C7
20	-8,726	C7
134	0,6387	C6
124	-2,794	C2
18	-1,708	C2
133	-7,467	C3
103	0,1665	C8
49	1,37	C6
139	4,269	C7
54	2,194	C4
108	5,233	C1
89	4,581	C1
122	-6,575	C5
73	7,4	C2
38	4,33	C1
102	2,985	C6
113	-6,809	C4
70	-4,811	C1
4	9,207	C3
104	-5,79	C1
55	2,353	C1
49	-5,182	C6
144	2,82	C5
43	9,345	C3
87	4,502	C1
72	3,763	C8
90	-6,999	C8
109	6,276	C1
32	-1,773	C3
137	0,0143	C1
5	1,529	C7
12	7,571	C4
119	-2,991	C4
115	-3,316	C8
121	-6,095	C6
51	-6,148	C7
26	-5,746	C2
43	-4,033	C6
85	-2,288	C1
100	0,2527	C5
103	0,5914	C4
97	5,896	C6
1	5,416	C3
38	-3,521	C2
76	-0,9042	C5
142	3,242	C5
70	-6,164	C7
33	-3,884	C6
27	1,404	C1
92	-9,422	C8
145	1,471	C4
35	6,673	C3
75	0,7008	C2
113	-1,623	C1
18	-0,5215	C7
43	-8,028	C5
9	-4,216	C7
108	0,8911	C5
95	3,293	C4
32	-7,576	C5
74	8,387	C1
10	0,6823	C2
123	0,3258	C3
24	-9,844	C8
53	-8,606	C4
64	3,712	C5
112	-3,21	C4
68	-4,18	C7
53	1,76	C7
24	3,125	C5
104	-8,341	C4
42	-6,068	C4
90	-1,004	C5
46	0,9223	C8
26	8,541	C8
127	0,5029	C5
2	6,067	C1
119	7,741	C4
35	-4,26	C3
69	6,333	C7
100	9,611	C3
6	-6,048	C8
86	-0,3213	C8
47	-1,557	C8
128	4,137	C2
131	2,079	C5
24	-7,673	C8
149	-2,769	C6
77	1,421	C8
113	4,479	C5
31	-2,961	C4
120	3,51	C6
123	6,157	C5
140	-5,126	C2
27	-0,4277	C3
57	3,794	C8
117	6,115	C6
93	1,169	C6
138	-0,8034	C6
17	0,08508	C8
40	-4,488	C2
86	-0,2964	C7
44	-6,583	C5
40	0,5297	C8
17	7,913	C1
81	0,07336	C1
109	2,315	C4
129	-2,282	C6
72	-2,988	C8
118	-4,698	C7
6	-7,694	C2
11	-9,851	C6
129	-9,373	C7
142	-2,086	C3
105	4,924	C4
109	1,242	C2
108	7,929	C1
88	-0,7097	C2
142	1,87	C2
15	-0,6269	C5
141	3,544	C7
79	3,102	C6
91	-4,425	C7
78	-1,031	C2
150	-7,137	C2
