var1 var2 var3
A 54,717 4
E 52,676 8
A 7,278 4
E 1,253 4
C 24,436 5
B 82,398 5
F 94,411 3
E 17,865 6
D 27,52 6
F 14,274 2
A 61,88 4
A 22,722 4
C 95,965 3
B 39,324 3
D 7,697 3
C 90,413 2
C 27,803 6
E 3,667 4
B 82,971 5
D 12,873 2
C 24,736 5
F 90,227 6
E 57,626 5
D 43,317 2
D 48,753 6
E 85,698 4
C 67,137 5
C 40,335 3
C 5,114 4
F 66,487 4
C 64,502 4
F 68,473 10
C 93,551 6
B 99,958 8
B 6,545 4
D 68,5 5
B 12,324 7
C 46,934 3
B 39,819 5
F 53,643 8
D 96,927 6
F 1,565 7
C 69,73 5
B 71,935 4
F 49,702 7
D 91,794 5
B 49,464 6
C 50,237 8
D 41,296 7
A 46,791 4
E 4,851 3
D 97,207 5
E 62,763 5
B 100,349 4
D 27,802 1
C 16,836 5
C 8,743 7
E 35,278 3
B 25,879 3
F 92,638 7
F 43,749 6
F 44,623 5
D 59,452 5
D 14,801 2
B 26,214 8
D 7,949 5
B 12,229 5
D 56,527 5
C 18,989 6
D 61,798 5
F 8,907 3
B 60,841 11
C 40,645 6
D 30,4 10
C 98,595 4
C 40,558 1
D 72,253 3
B 66,126 8
E 21,192 9
A 80,592 5
B 35,933 4
F 11,506 10
D 57,848 4
D 53,967 4
A 79,924 7
F 92,49 5
D 98,402 4
C 93,414 3
F 29,211 2
D 44,215 5
B 52,775 2
D 98,147 6
E 88,266 5
D 59,841 4
D 71,893 3
F 51,115 9
D 38,691 6
A 67,342 5
E 69,227 4
F 68,253 5
F 79,154 2
D 91,234 2
F 34,506 8
D 68,738 4
C 7,917 3
C 96,253 6
C 19,45 8
F 48,193 4
C 95,277 4
E 76,456 4
C 94,542 8
C 17,533 4
A 40,77 2
C 18,345 5
A 71,732 10
C 48,668 6
D 46,761 12
E 96,568 5
C 15,239 9
B 99,274 5
B 25,902 8
C 54,578 8
B 40,935 5
C 30,435 2
B 63,727 5
B 85,225 10
D 89,316 6
F 12,601 5
C 64,213 6
C 78,69 5
D 6,86 5
E 68,31 7
C 58,265 4
C 51,88 3
D 39,496 4
F 42,379 3
C 65,308 3
E 40,479 4
C 20,392 3
F 91,987 3
C 75,58 3
E 53,995 3
F 46,912 7
D 11,601 8
D 53,498 5
A 12,312 4
F 84,374 5
B 10,752 4
E 21,281 5
F 4,434 7
C 69,858 5
B 56,57 3
F 9,735 4
E 37,737 4
D 95,199 7
B 20,118 3
B 25,384 2
B 68,571 5
D 18,761 7
B 23,102 5
D 19,311 4
C 65,462 6
F 16,211 2
C 88,886 5
C 97,148 2
F 77,416 6
C 52,652 10
C 1,734 4
C 93,299 2
D 96,328 9
D 80,561 4
F 9,134 6
F 24,226 6
F 52,678 2
D 66,32 7
C 31,217 4
B 85,788 8
F 41,76 5
D 72,808 5
E 14,275 4
C 97,445 4
D 58,417 7
E 6,678 4
B 98,155 6
A 52,52 6
