"vector1" "vector2" "vector3"
"1" "A" -43 -0.0556965308532588
"2" "A" -67 0.725340685330653
"3" "A" 25 1.00510144177326
"4" "A" -38 0.115492804724362
"5" "A" 10 0.263699015232421
"6" "A" -83 0.981400804657418
"7" "A" 83 -2.41663469335274
"8" "A" 20 0.603117873102398
"9" "A" -81 -0.0986554954996063
"10" "A" -69 0.446067216312518
"11" "A" 25 -1.03522692664267
"12" "A" -90 -2.01406550857982
"13" "A" 21 -0.833754657341254
"14" "A" 18 0.986110219183504
"15" "A" 31 0.349212428502082
"16" "A" -19 0.473031291770327
"17" "A" 36 0.101845881222749
"18" "A" -89 0.101503361470067
"19" "A" 97 -0.0497152724697939
"20" "A" -59 -0.223214151147286
"21" "A" 73 -0.116046495675986
"22" "A" 35 0.801434915895146
"23" "A" 3 -0.679923799306675
"24" "A" 65 -1.40425071665517
"25" "A" 30 -0.192881471754364
"26" "A" 95 -0.465340074555265
"27" "A" -12 -1.46090797745475
"28" "A" -1 1.28448932432412
"29" "A" -53 -1.17010738036516
"30" "A" 99 1.03904671016847
"31" "A" 65 -2.00024116781401
"32" "A" -26 -1.72284726088821
"33" "A" -13 -0.680271543237946
"34" "A" -93 -0.132301294433334
"35" "A" 94 0.392566834704387
"36" "A" 34 0.305153487391956
"37" "A" 11 0.101937210772396
"38" "A" 48 0.328164713863884
"39" "A" 50 0.476566677420984
"40" "A" 42 1.77196775887351
"41" "A" 9 -0.633081224774817
"42" "A" -57 -0.956141933284565
"43" "A" 72 -0.679360940131934
"44" "A" -57 2.01630715008457
"45" "A" 85 2.00784395100856
"46" "A" 30 1.43019504084533
"47" "A" -24 0.084916396686126
"48" "A" 67 -0.271371222573073
"49" "A" 6 -0.777934018361986
"50" "A" 66 -0.337049556009563
"51" "A" 99 0.234205819945484
"52" "A" 41 -2.35991298453921
"53" "A" 97 -0.722568199107755
"54" "A" -63 0.251305072036171
"55" "A" 26 1.05769621857037
"56" "A" -80 0.308342737898171
"57" "A" -79 0.461673379436091
"58" "A" 23 -0.793900349230409
"59" "A" 82 -1.66462679119084
"60" "A" -62 0.157328404411852
"61" "A" 58 0.318835489914118
"62" "A" -17 -0.498640918051217
"63" "A" 18 -0.0157196593656812
"64" "A" 89 -0.410733146529836
"65" "A" 39 -0.211696222583351
"66" "A" 48 -0.737958990034355
