"scores" "group"
"1" 81 1
"2" 73 1
"3" 86 1
"4" 90 1
"5" 75 1
"6" 80 1
"7" 75 1
"8" 81 1
"9" 85 1
"10" 87 1
"11" 83 1
"12" 75 1
"13" 70 1
"14" 65 1
"15" 80 1
"16" 76 1
"17" 64 1
"18" 74 1
"19" 86 1
"20" 80 1
"21" 83 1
"22" 67 1
"23" 82 1
"24" 78 1
"25" 76 1
"26" 83 1
"27" 71 1
"28" 90 1
"29" 77 1
"30" 81 1
"31" 82 1
"32" 87 2
"33" 77 2
"34" 66 2
"35" 75 2
"36" 78 2
"37" 82 2
"38" 82 2
"39" 71 2
"40" 79 2
"41" 73 2
"42" 91 2
"43" 97 2
"44" 89 2
"45" 92 2
"46" 75 2
"47" 89 2
"48" 75 2
"49" 95 2
"50" 84 2
"51" 75 2
"52" 82 2
"53" 74 2
"54" 77 2
"55" 87 2
"56" 69 2
"57" 96 2
"58" 65 2
